date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-08-01,36,30,0.0,13.7,8,0,05:37 AM,07:38 PM,05:44 AM,07:13 PM,22,39,39,34,14,33,52,2.4,998,36,10,112,11,gurgaon
2019-08-02,38,32,0.0,13.7,8,5,06:46 AM,08:27 PM,05:44 AM,07:12 PM,22,40,40,35,12,31,49,2.8,996,38,9,114,9,gurgaon
2019-08-03,38,32,0.0,13.7,8,12,07:56 AM,09:12 PM,05:45 AM,07:12 PM,22,40,40,35,11,33,48,8.2,996,38,9,117,9,gurgaon
2019-08-04,38,32,0.0,13.7,8,20,09:03 AM,09:53 PM,05:45 AM,07:11 PM,23,41,41,35,6,36,50,11.3,995,38,9,189,5,gurgaon
2019-08-05,39,30,0.0,13.6,8,27,10:08 AM,10:31 PM,05:46 AM,07:10 PM,24,41,41,35,7,40,54,24.6,994,39,8,142,6,gurgaon
2019-08-06,40,29,0.0,13.6,8,34,11:12 AM,11:09 PM,05:46 AM,07:09 PM,23,40,40,34,13,36,55,24.8,994,40,8,193,11,gurgaon
2019-08-07,38,31,0.0,13.6,8,42,12:14 PM,11:48 PM,05:47 AM,07:09 PM,23,40,40,34,8,31,51,0.4,994,38,10,168,7,gurgaon
2019-08-08,38,32,0.0,13.6,9,49,01:15 PM,No moonset,05:47 AM,07:08 PM,22,40,40,35,18,27,49,0.1,994,38,10,115,15,gurgaon
2019-08-09,35,31,0.0,13.6,7,56,02:14 PM,12:28 AM,05:48 AM,07:07 PM,22,37,37,33,30,40,53,0.8,996,35,10,99,24,gurgaon
2019-08-10,35,29,0.0,12.1,7,63,03:13 PM,01:11 AM,05:49 AM,07:06 PM,23,37,37,32,22,44,62,1.8,997,35,10,126,19,gurgaon
2019-08-11,37,29,0.0,13.6,8,71,04:08 PM,01:57 AM,05:49 AM,07:05 PM,23,39,39,34,12,39,54,0.0,998,37,10,191,10,gurgaon
2019-08-12,38,31,0.0,13.5,8,78,05:00 PM,02:46 AM,05:50 AM,07:04 PM,23,40,40,35,20,27,53,12.6,998,38,9,289,13,gurgaon
2019-08-13,38,31,0.0,13.5,7,85,05:48 PM,03:38 AM,05:50 AM,07:03 PM,24,40,40,34,15,35,56,21.0,998,38,8,259,12,gurgaon
2019-08-14,37,29,0.0,13.5,7,92,06:31 PM,04:31 AM,05:51 AM,07:02 PM,23,39,39,33,10,38,58,34.2,1000,37,7,182,7,gurgaon
2019-08-15,36,30,0.0,13.3,7,100,07:11 PM,05:25 AM,05:51 AM,07:02 PM,23,38,38,33,21,44,57,1.4,1000,36,10,103,17,gurgaon
2019-08-16,32,28,0.0,9.6,7,100,07:47 PM,06:18 AM,05:52 AM,07:01 PM,23,33,33,30,24,61,67,2.0,998,32,10,103,20,gurgaon
2019-08-17,30,27,0.0,10.9,6,86,08:20 PM,07:11 AM,05:52 AM,07:00 PM,24,33,33,28,27,82,77,36.0,998,30,8,126,17,gurgaon
2019-08-18,35,26,0.0,13.1,7,78,08:52 PM,08:03 AM,05:53 AM,06:59 PM,23,36,36,31,20,32,66,4.3,1001,35,9,276,13,gurgaon
2019-08-19,36,29,0.0,13.1,7,71,09:23 PM,08:55 AM,05:53 AM,06:58 PM,22,38,38,33,9,21,56,1.3,1003,36,10,223,7,gurgaon
2019-08-20,37,30,0.0,13.0,8,64,09:54 PM,09:47 AM,05:54 AM,06:57 PM,21,38,38,34,13,9,50,1.0,1002,37,10,333,11,gurgaon
2019-08-21,39,31,0.0,13.0,8,57,10:26 PM,10:39 AM,05:54 AM,06:56 PM,20,38,38,35,14,13,43,0.8,1001,39,10,253,11,gurgaon
2019-08-22,37,29,0.0,13.0,8,49,11:01 PM,11:33 AM,05:55 AM,06:55 PM,22,38,38,33,13,19,52,4.8,1001,37,10,158,10,gurgaon
